Time,Percent,Speed,Error,Target
47381,0.0,0.0,0.0,28.125
47395,0.0,0.0,0.0,-28.125
47409,0.0,0.0,0.0,28.125
47413,0.0,0.0,0.0,-28.125
47421,0.0,0.0,0.0,28.125
47424,0.0,0.0,0.0,-28.125
47427,0.0,0.0,0.0,28.125
47431,0.0,0.0,0.0,-28.125
47438,0.0,0.0,0.0,28.125
47440,0.0,0.0,0.0,-28.125
47444,0.0,0.0,0.0,28.125
47446,0.0,0.0,0.0,-28.125
47451,0.0,0.0,0.0,28.125
47455,0.0,0.0,0.0,-28.125
47459,0.0,0.0,0.0,28.125
47462,0.0,0.0,0.0,-28.125
47466,0.0,0.0,0.0,28.125
47470,0.0,0.0,0.0,-28.125
47475,0.0,0.0,0.0,28.125
47483,0.0,0.0,0.0,-28.125
47487,0.0,0.0,0.0,28.125
47492,0.0,0.0,0.0,-28.125
47498,0.0,0.0,0.0,28.125
47502,0.0,0.0,0.0,-28.125
47504,0.0,0.0,0.0,28.125
47506,0.0,0.0,0.0,-28.125
47510,0.0,0.0,0.0,28.125
47513,0.0,0.0,0.0,-28.125
47517,0.0,0.0,0.0,28.125
47521,0.0,0.0,0.0,-28.125
47526,0.0,0.0,0.0,28.125
47530,0.0,0.0,0.0,-28.125
47538,0.0,0.0,0.0,28.125
47542,0.0,0.0,0.0,-28.125
47545,0.0,0.0,0.0,28.125
47549,0.0,0.0,0.0,-28.125
47555,0.0,0.0,0.0,28.125
47560,0.0,0.0,0.0,-28.125
47563,0.0,0.0,0.0,28.125
47571,0.0,0.0,0.0,-28.125
47576,0.0,0.0,0.0,28.125
47579,0.0,0.0,0.0,-28.125
47585,0.0,0.0,0.0,28.125
47587,0.0,0.0,0.0,-28.125
47592,0.0,0.0,0.0,28.125
47597,0.0,0.0,0.0,-28.125
47602,0.0,0.0,0.0,28.125
47605,0.0,0.0,0.0,-28.125
47610,0.0,0.0,0.0,28.125
47614,0.0,0.0,0.0,-28.125
47621,0.0,0.0,0.0,28.125
47623,0.0,0.0,0.0,-28.125
47638,0.0,0.0,0.0,28.125
47640,0.0,0.0,0.0,-28.125
47658,0.0,0.0,0.0,28.125
47660,0.0,0.0,0.0,-28.125
47678,0.0,0.0,0.0,28.125
47679,0.0,0.0,0.0,-28.125
47698,0.0,0.0,0.0,28.125
47703,0.0,0.0,0.0,-28.125
47718,0.0,0.0,0.0,28.125
47720,0.0,0.0,0.0,-28.125
47738,0.0,0.0,0.0,28.125
47740,0.0,0.0,0.0,-28.125
47758,0.0,0.0,0.0,28.125
47761,0.0,0.0,0.0,-28.125
47778,0.0,0.0,0.0,28.125
47781,0.0,0.0,0.0,-28.125
47798,0.0,0.0,0.0,28.125
47800,0.0,0.0,0.0,-28.125
47818,0.0,0.0,0.0,28.125
47820,0.0,0.0,0.0,-28.125
47838,0.0,0.0,0.0,28.125
47839,0.0,0.0,0.0,-28.125
47858,0.0,0.0,0.0,28.125
47860,0.0,0.0,0.0,-28.125
47878,0.0,0.0,0.0,28.125
47880,0.0,0.0,0.0,-28.125
47898,0.0,0.0,0.0,28.125
47902,0.0,0.0,0.0,-28.125
47918,0.0,0.0,0.0,534.375
47921,0.0,0.0,0.0,-534.375
47938,0.0,0.0,0.0,1884.375
47940,0.0,0.0,0.0,-1884.375
47958,26.295210166177906,0.0,0.0,3234.375
47960,-26.295210166177906,0.0,0.0,-3234.375
